Product_type,Brand,Size,fabric,fabric_cost_per_kg/meter/hide,fabric_raw_cost,manufacturing,transportation,tax,brand_value,retailer_margin,selling_price
Jacket,"Garcia, Torres and Nolan Basics (budget)",XXL,leather,1663,1897.16,2499.99,105.59,1031.48,863.25,3229.67,9627.15
Classic Jacket,Hawkins & Co. (premium),XXL,leather,9677,36155.19,39267.95,2516.76,34600.46,47643.67,162753.57,322937.61
Modern Jacket,White & Co. (premium),XXL,leather,24936,91965.22,93621.81,5324.98,91645.9,122273.76,450530.04,855361.72
Casual Jacket,"Mejia, Perry and Wright Basics (budget)",S,leather,1274,720.48,753.1,52.69,341.2,220.81,1096.24,3184.52
Jacket,Jones and Sons (mid_range),S,leather,7891,6124.78,7559.29,345.63,5148.44,6915.15,21958.83,48052.12
Jacket,"Nolan, Griffin and Shelton Basics (budget)",L,leather,1979,1546.79,1932.96,89.44,823.39,510.56,2781.83,7684.98
Jacket,"Marshall, Sims and Sanchez (mid_range)",L,leather,4746,6252.53,6443.3,468.86,5310.99,6986.95,24106.59,49569.22
Jacket,Johnson LLC (mid_range),XL,leather,7240,10694.6,15350.29,564.31,9530.61,9461.51,43351.02,88952.33
Casual Jacket,Sullivan and Sons (mid_range),XL,leather,5372,8038.52,10831.66,541.74,6965.75,8974.93,29661.07,65013.68
Contemporary Jacket,Mitchell Inc Basics (budget),XL,leather,2220,1953.26,2497.06,130.97,1034.66,679.96,3360.93,9656.85
Classic Jacket,Patterson-Walker (mid_range),M,leather,5199,5152.95,7381.47,355.91,4580.95,4460.76,20823.48,42755.52
Formal Jacket,"Gilmore, Marshall and Mills Basics (budget)",XXXL,leather,2706,3847.74,4443.04,284.95,1955.12,1226.98,6489.95,18247.78
Jacket,Middleton-Pearson (mid_range),M,leather,6671,6159.98,8789.57,352.4,5259.96,7646.48,20884.62,49093.0
Jacket,"Brown, Obrien and Santos Basics (budget)",S,leather,1586,788.58,848.99,48.7,374.91,286.56,1151.39,3499.13
Jacket,Andrews-Walker (mid_range),XXL,leather,4457,7273.34,9299.59,413.85,5701.27,7465.04,23058.79,53211.87
Jacket,Willis-Barker Basics (budget),XL,leather,2527,2453.03,3455.33,191.65,1348.79,817.67,4322.22,12588.69
Vintage Jacket,"Richardson, Jackson and Meyer (mid_range)",XXXL,leather,4359,8996.97,12276.09,450.62,6596.44,6917.82,26328.8,61566.74
Jacket,Williams-Stevens Basics (budget),XL,leather,2828,2651.25,2951.68,211.2,1394.19,1022.67,4781.44,13012.43
Jacket,"Powell, Clark and Snyder Basics (budget)",M,leather,1989,1231.04,1323.09,66.77,583.11,433.3,1805.03,5442.35
Jacket,Collins-Cook (mid_range),XXL,leather,6327,11462.23,12731.75,624.71,8610.7,9905.94,37031.22,80366.56
Jacket,Roy-Lopez Basics (budget),XXL,leather,1752,1837.87,2186.22,116.62,986.18,812.88,3264.55,9204.32
Jacket,Moore-Flores (mid_range),XXL,leather,5893,10030.77,12925.73,541.94,7994.68,8845.25,34278.61,74616.98
Jacket,"Jones, Gonzalez and Villanueva Basics (budget)",XXL,leather,2898,2977.95,3653.06,196.08,1535.82,986.24,4985.2,14334.36
Classic Jacket,"White, Martinez and Harris (mid_range)",XXXL,leather,5755,11695.95,13949.79,630.82,9250.86,10596.28,40217.68,86341.38
Jacket,"Cannon, Hall and Perry (mid_range)",S,leather,4686,3925.23,4697.31,220.11,2704.69,2990.21,10706.23,25243.77
Jacket,Cobb and Sons Basics (budget),XXL,leather,2333,2618.8,3154.36,175.24,1378.71,980.28,4560.58,12867.97
Jacket,Burton LLC (mid_range),XL,leather,7208,9516.86,10304.5,645.54,7519.06,10677.8,31514.13,70177.89
Jacket,Delacruz LLC Basics (budget),XL,leather,1462,1228.28,1465.66,76.74,632.07,597.31,1899.27,5899.33
Jacket,Dodson Ltd Basics (budget),S,leather,2646,1286.76,1389.03,81.6,662.52,522.62,2240.99,6183.51
Jacket,Franklin-Petty Basics (budget),M,leather,2853,1966.38,2808.35,147.29,1095.36,743.06,3462.88,10223.32
Vintage Jacket,Mendoza LLC Basics (budget),L,leather,2817,2434.93,2776.75,141.14,1330.58,1169.76,4565.54,12418.7
Jacket,Shepherd Inc Basics (budget),XXL,leather,1757,2092.42,2533.28,145.46,1114.25,844.48,3669.8,10399.69
Jacket,Brown-Mejia (mid_range),M,leather,5920,5533.6,5995.92,356.99,4131.73,5250.01,17294.59,38562.85
Jacket,Rodriguez Couture (luxury),XL,leather,103261,595082.35,753179.12,33932.4,1209612.74,1458738.61,7239173.67,11289718.89
Jacket,Figueroa Couture (luxury),M,leather,77233,289917.05,370889.06,15805.17,554282.97,618165.89,3324247.6,5173307.74
Modern Jacket,Williams and Sons (mid_range),L,leather,5754,6416.59,9364.21,390.87,5788.29,6872.27,25191.76,54023.99
Jacket,Pittman & Co. (premium),S,leather,19878,33455.64,42691.56,2432.06,36194.73,43817.27,179226.18,337817.44
Jacket,Martinez & Co. (premium),S,leather,16769,30038.39,34098.62,2331.6,30992.63,34347.2,157456.08,289264.51
Jacket,Morales Couture (luxury),S,leather,114654,367741.11,399926.47,19751.98,802142.77,1066224.04,4830879.45,7486665.83
Jacket,Walsh and Sons (mid_range),XL,leather,5700,8503.65,11354.5,439.14,7464.62,9409.78,32498.12,69669.82
Jacket,"Smith, Duncan and Melton (mid_range)",XXXL,leather,4372,8103.71,10662.22,549.3,6244.74,6566.26,26157.97,58284.2
Jacket,White LLC (mid_range),L,leather,5864,6709.24,6768.27,473.6,5362.92,7339.36,23400.51,50053.9
Formal Jacket,Anderson-Moore Basics (budget),L,leather,2935,2397.65,2865.46,146.38,1294.7,1046.56,4333.09,12083.83
Jacket,"Padilla, Osborn and Schneider Basics (budget)",S,leather,2268,1236.65,1476.03,86.53,598.11,450.52,1734.5,5582.33
Vintage Jacket,Roberts & Co. (premium),L,leather,23436,67577.14,90946.11,3584.34,77403.57,79918.35,403003.77,722433.28
Jacket,Williams-Henderson Basics (budget),L,leather,2359,2052.15,2109.95,108.01,980.82,872.06,3031.29,9154.28
Jacket,Salazar Inc Basics (budget),L,leather,842,687.43,740.16,51.13,350.07,266.86,1171.68,3267.33
Jacket,Noble & Co. (premium),S,leather,19902,34402.16,41566.44,2489.81,33736.06,33908.4,168766.99,314869.86
Vintage Jacket,Johnson & Co. (premium),M,leather,20546,52731.01,68051.33,2821.03,58167.75,62727.38,298400.52,542899.02
Jacket,Kline Couture (luxury),XL,leather,117953,644699.7,791926.14,43756.22,1331873.22,1529890.42,8088671.0,12430816.71
Jacket,"Jenkins, Allen and Choi Basics (budget)",S,leather,2544,1258.4,1335.64,84.32,618.87,417.52,2061.35,5776.09
Casual Jacket,Davis-Peck Basics (budget),XXL,leather,2399,2569.82,3192.84,152.38,1419.96,1181.73,4736.26,13252.98
Modern Jacket,Raymond Group Basics (budget),M,leather,1011,689.25,816.05,45.18,330.67,265.73,939.33,3086.22
Jacket,Becker-Hernandez Basics (budget),XXXL,leather,2431,3305.6,4376.68,182.76,1734.71,1222.3,5368.58,16190.63
Jacket,Walker Couture (luxury),XXXL,leather,119645,888653.79,1198637.22,46119.18,1852820.32,2363582.6,10943176.56,17292989.67
Jacket,Hunt Group Basics (budget),M,leather,1725,1228.63,1519.86,86.31,613.34,474.9,1801.48,5724.52
Vintage Jacket,Reynolds PLC (mid_range),XXL,leather,7251,12421.91,15886.82,829.53,9525.37,10017.19,40222.6,88903.42
Jacket,Harris Couture (luxury),XXXL,leather,124686,1013554.29,1412694.9,68718.02,1774812.89,2200785.4,10094354.82,16564920.31
Jacket,Cooper-Henderson Basics (budget),XXL,leather,1678,2016.02,2796.84,141.13,1056.28,649.68,3198.67,9858.63
Jacket,Gonzalez Couture (luxury),XXL,leather,118378,807802.83,1120541.76,44763.65,2018850.89,2610618.24,12240030.92,18842608.3
Jacket,Stafford & Co. (premium),M,leather,15689,40237.27,54503.07,2965.82,43384.76,39703.65,224129.83,404924.39
Jacket,"Clarke, Myers and Johnson Basics (budget)",XL,leather,1084,967.15,1348.54,48.97,520.89,362.19,1613.93,4861.68
Jacket,Marshall LLC Basics (budget),XXXL,leather,2871,3478.11,3857.94,206.56,1764.27,1142.9,6016.76,16466.55
Classic Jacket,Mccullough & Co. (premium),M,leather,22153,50822.29,66117.49,3835.25,51463.06,57115.05,250968.73,480321.87
Jacket,Berger & Co. (premium),XL,leather,18530,63183.99,87817.79,4585.04,63934.69,57031.39,320170.88,596723.78
Jacket,Thomas & Co. (premium),XL,leather,19938,61816.39,67864.79,3720.12,62288.16,69516.97,316149.77,581356.2
Jacket,Gill Group Basics (budget),L,leather,2679,2190.01,2625.49,115.67,1154.18,989.8,3697.21,10772.36
Jacket,"Ramos, Elliott and Thomas (mid_range)",L,leather,7844,9962.24,11724.46,743.23,6988.26,7961.28,27844.26,65223.73
Jacket,Lowe-Davis Basics (budget),XL,leather,2677,2622.85,2662.24,135.12,1210.57,975.92,3691.95,11298.66
Jacket,Fowler Couture (luxury),M,leather,73786,273786.92,353965.22,18168.18,555459.19,762740.16,3220166.08,5184285.75
Jacket,Stevens-Martin Basics (budget),L,leather,1026,795.94,965.24,48.24,424.53,396.92,1331.45,3962.32
Jacket,Aguilar Couture (luxury),S,leather,120969,423645.64,442729.11,28474.35,793944.25,985408.6,4735944.43,7410146.38
Jacket,"Mora, Ruiz and Miller Basics (budget)",XXL,leather,1045,1230.67,1425.38,67.94,654.78,543.75,2188.78,6111.31
Jacket,Solis-Jackson (mid_range),XL,leather,4772,6341.59,6921.89,502.53,5477.22,7040.74,24836.74,51120.71
Vintage Jacket,Smith & Co. (premium),S,leather,13882,27370.94,35961.59,1433.35,30449.17,37116.18,151861.04,284192.28
Traditional Jacket,"Davis, Woods and Charles Basics (budget)",S,leather,1602,832.44,1093.0,61.78,431.8,308.77,1302.35,4030.14
Jacket,Carpenter and Sons (mid_range),XXL,leather,6765,11817.91,17113.84,590.92,9153.32,9096.8,37658.22,85431.01
Jacket,Frost-Jones Basics (budget),XL,leather,2445,2062.03,2691.58,139.58,1164.47,863.24,3947.48,10868.37
Classic Jacket,Adams-Moyer (mid_range),XL,leather,5164,7053.61,9654.14,383.68,5949.79,7700.04,24790.11,55531.38
Jacket,Gillespie Couture (luxury),XXXL,leather,99959,720866.64,917905.3,36561.29,1373508.12,1718391.01,8052176.75,12819409.11
Modern Jacket,Stone Couture (luxury),XXL,leather,126611,800449.54,842400.65,44540.49,2001938.63,2775751.81,12219679.44,18684760.57
Jacket,Stanton LLC (mid_range),L,leather,7197,8177.44,11553.91,591.51,7650.84,9247.52,34186.58,71407.81
Traditional Jacket,Clark Couture (luxury),M,leather,73275,302517.12,387942.45,17034.59,579782.41,724520.05,3399505.89,5411302.51
Jacket,Orr LLC (mid_range),S,leather,5166,3814.48,5166.57,304.45,3532.69,4524.77,15628.85,32971.82
Jacket,Vasquez & Co. (premium),XXXL,leather,13250,56204.88,77886.23,3097.21,58158.99,51709.07,295760.83,542817.22
Jacket,"Young, Watkins and Chen (mid_range)",XXL,leather,4572,8216.52,9741.41,504.63,6602.94,6915.62,29646.29,61627.4
Vintage Jacket,"Allison, Kline and Fletcher (mid_range)",L,leather,7179,9222.67,13009.54,602.28,7945.82,7673.12,35707.53,74160.96
Jacket,"Hernandez, Chan and Vega (mid_range)",XXL,leather,4345,8075.92,11662.54,570.23,6839.44,8434.06,28252.58,63834.77
Vintage Jacket,"Harris, Clark and Nichols Basics (budget)",M,leather,2290,1377.49,1680.82,82.45,729.94,636.88,2305.22,6812.79
Jacket,"Chase, Richardson and Nelson Basics (budget)",XXL,leather,2454,2889.66,3462.82,160.61,1470.01,1111.95,4625.05,13720.1
Jacket,Bowman-Miller Basics (budget),L,leather,1412,1233.69,1290.44,96.63,582.48,454.93,1778.3,5436.48
Jacket,Orr-Smith (mid_range),L,leather,5452,5927.01,6386.33,398.23,4148.9,4759.6,17102.99,38723.07
Modern Jacket,Shelton-Neal Basics (budget),S,leather,1573,833.07,942.52,54.03,423.43,283.89,1415.05,3951.99
Jacket,Barnett-Cohen Basics (budget),XXXL,leather,2429,3394.99,4452.86,266.8,1733.22,1418.79,4910.05,16176.71
Jacket,Bryant LLC (mid_range),XL,leather,4831,6228.93,8585.9,465.48,5238.95,5526.52,22851.05,48896.83
Casual Jacket,Miller-Dominguez Basics (budget),XL,leather,1000,874.69,1160.31,51.1,453.51,265.56,1427.56,4232.72
Jacket,Bates-Allen Basics (budget),S,leather,2531,1305.2,1364.52,84.53,638.85,498.8,2070.72,5962.62
Jacket,Patterson & Co. (premium),S,leather,10876,18349.42,22933.66,1392.0,19345.81,20591.06,97948.93,180560.87
Jacket,Gonzalez & Co. (premium),XXXL,leather,21955,96562.93,113003.51,7065.42,108968.8,115291.09,576150.42,1017042.16
Jacket,Patterson & Co. (premium),S,leather,24436,42850.48,49132.07,2849.9,40606.0,52316.63,191234.27,378989.35
Casual Jacket,Kim Couture (luxury),L,leather,30548,148134.07,159175.71,8979.56,285267.56,326657.83,1734282.54,2662497.27
Jacket,Houston LLC (mid_range),XXL,leather,7644,13668.37,19689.37,856.44,12271.45,13131.1,54916.83,114533.56
Jacket,Hudson-Murphy (mid_range),XXL,leather,7883,13860.28,17228.84,1007.31,10789.58,11907.03,45909.69,100702.73
Formal Jacket,Cooper-Villarreal (mid_range),M,leather,4103,4227.52,5529.08,274.2,3425.85,4018.87,14499.06,31974.58
Classic Jacket,Stephenson-Vega (mid_range),XXXL,leather,4969,9920.81,10977.9,785.7,7548.93,7585.29,33638.01,70456.64
Jacket,"Gould, Mckinney and Hill Basics (budget)",XXXL,leather,2822,3756.62,5069.89,246.32,1948.33,1679.82,5483.43,18184.4
Jacket,Merritt Couture (luxury),S,leather,70460,231793.87,286825.8,18292.13,461644.85,612867.44,2697261.14,4308685.23
Formal Jacket,Gonzalez-Wagner Basics (budget),XXL,leather,1830,1972.76,2260.31,114.9,1059.8,924.64,3559.08,9891.49
Modern Jacket,Armstrong-Thompson Basics (budget),XL,leather,1671,1610.49,2295.52,122.27,952.64,776.49,3133.9,8891.32
Jacket,Reed-Watson Basics (budget),M,leather,1188,867.58,1125.02,47.03,478.95,363.93,1587.65,4470.16
Vintage Jacket,Holmes & Co. (premium),L,leather,14543,44001.78,55174.33,2903.89,44876.88,62076.23,209817.77,418850.89
Jacket,Maddox & Co. (premium),L,leather,11430,32248.78,37492.68,1682.66,36154.25,45849.08,184012.23,337439.67
Jacket,"Drake, Charles and Cline (mid_range)",XXL,leather,7861,12828.31,16275.01,684.23,9488.81,9643.79,39642.05,88562.19
Modern Jacket,Rose Ltd (mid_range),L,leather,7598,8730.55,10878.81,482.16,7930.47,9763.28,36232.44,74017.72
Vintage Jacket,Barnett & Co. (premium),XL,leather,13084,42428.79,60107.63,3287.89,49975.81,60209.23,250431.59,466440.93
Casual Jacket,Franklin Inc (mid_range),M,leather,5620,5287.66,5972.03,345.54,4425.46,6509.69,18763.89,41304.26
Formal Jacket,Howard & Co. (premium),XXL,leather,24220,105431.43,116592.28,7651.39,105123.08,109788.71,536561.84,981148.73
Jacket,Braun-Higgins (mid_range),M,leather,7025,7612.35,8261.46,551.28,5511.6,7084.52,22420.36,51441.57
Vintage Jacket,Ibarra & Co. (premium),L,leather,17472,48265.37,55514.2,2599.08,43131.2,52094.29,200953.72,402557.85
Jacket,Baker PLC Basics (budget),S,leather,1581,879.0,1152.89,67.42,446.28,378.69,1240.99,4165.28
Jacket,Avila Ltd Basics (budget),XXXL,leather,2199,3047.02,3857.78,176.9,1541.06,1173.75,4586.71,14383.22
Formal Jacket,"Hansen, Hill and Lopez Basics (budget)",XL,leather,1096,1099.33,1326.28,73.95,575.24,418.37,1875.71,5368.87
Jacket,Johnson-Lowe (mid_range),M,leather,4958,4848.46,6748.92,290.24,3732.14,3736.6,15476.96,34833.32
Modern Jacket,Gonzalez & Co. (premium),M,leather,9963,21310.25,24821.12,1108.34,21454.73,20472.32,111077.39,200244.15
Classic Jacket,"Rubio, Evans and Stanley (mid_range)",L,leather,4549,5489.33,6992.03,411.5,4811.39,6491.49,20710.53,44906.26
Jacket,Acosta & Co. (premium),L,leather,15067,41718.75,48068.03,2326.71,46771.87,60347.29,237304.82,436537.46
Formal Jacket,"Alvarado, Zimmerman and Young (mid_range)",M,leather,6132,6133.57,6525.25,364.42,4991.18,6174.93,22394.97,46584.31
Classic Jacket,Hebert-Ayala Basics (budget),M,leather,2841,1846.73,2442.66,133.07,1083.49,905.44,3701.21,10112.61
Vintage Jacket,Burke-Clay Basics (budget),XL,leather,907,821.7,926.67,52.06,407.78,342.55,1255.17,3805.93
Jacket,Mathews-Smith Basics (budget),XXXL,leather,1432,1980.8,2426.71,133.71,944.16,675.77,2651.01,8812.15
Formal Jacket,Hubbard and Sons Basics (budget),XXL,leather,1310,1582.22,2179.57,108.1,918.72,668.14,3118.0,8574.75
Jacket,Stephens-Barnes Basics (budget),M,leather,1421,1023.5,1223.42,73.98,501.52,371.45,1486.99,4680.86
Modern Jacket,Evans-Spencer Basics (budget),M,leather,1613,1100.04,1537.86,62.79,645.35,513.63,2163.57,6023.24
Jacket,"Martinez, Smith and Rodriguez Basics (budget)",S,leather,1713,931.47,1089.16,59.66,478.64,399.02,1509.33,4467.27
Jacket,"Reeves, Villarreal and Ramirez Basics (budget)",L,leather,2533,2055.7,2901.62,123.72,1151.01,882.16,3628.53,10742.74
Jacket,"Lopez, Wilkins and Brown Basics (budget)",M,leather,2005,1286.46,1323.07,65.41,601.08,501.91,1832.14,5610.07
Jacket,Wilson-Bryant Basics (budget),XXL,leather,1538,1648.89,2232.49,122.64,851.35,525.35,2565.24,7945.97
Jacket,Davis Ltd (mid_range),XXL,leather,6728,11855.64,14780.56,869.21,10224.04,11516.46,46178.49,95424.41
Jacket,"Rogers, Montgomery and Wong Basics (budget)",XXL,leather,2820,2972.76,3530.22,195.64,1556.86,1318.61,4956.59,14530.68
Casual Jacket,Smith-Savage Basics (budget),XXXL,leather,1502,1939.85,2737.32,140.11,1124.36,768.5,3783.92,10494.06
Formal Jacket,Thomas Ltd (mid_range),S,leather,6868,5110.01,6421.24,352.27,4368.55,4554.61,19966.46,40773.15
Jacket,Jackson PLC (mid_range),XXXL,leather,4963,10742.1,11323.28,732.82,8372.43,11190.54,35781.49,78142.67
Traditional Jacket,Page-Mcclure (mid_range),L,leather,7445,9057.23,10788.25,473.29,7336.79,10395.7,30425.44,68476.69
Classic Jacket,"Martinez, Donovan and Bell Basics (budget)",M,leather,1033,679.5,771.8,52.02,356.72,301.85,1167.53,3329.43
Jacket,Schmidt LLC Basics (budget),M,leather,1639,1179.89,1289.58,93.31,579.92,424.45,1845.45,5412.59
Jacket,Gallagher-Allen Basics (budget),XXXL,leather,2445,3030.73,3631.38,157.1,1612.03,1272.63,5341.77,15045.64
Jacket,Collins-Santiago (mid_range),L,leather,5979,6687.09,7228.49,335.21,4888.56,6458.23,20028.99,45626.56
Traditional Jacket,Espinoza & Co. (premium),S,leather,13369,25805.28,30243.72,2019.34,25864.32,24321.63,133146.01,241400.28
Classic Jacket,Davis Couture (luxury),XL,leather,43090,223635.14,316434.27,12107.68,421271.14,499796.02,2458619.69,3931863.94
Jacket,Bowers-Roberson (mid_range),M,leather,6615,6013.06,8439.73,334.77,5041.15,4872.05,22350.01,47050.77
Jacket,Carpenter Group (mid_range),L,leather,5706,7096.92,10047.18,370.11,6254.12,7392.61,27210.85,58371.8
Jacket,"Silva, Perry and Adams (mid_range)",M,leather,4523,4209.47,5946.04,267.98,3823.66,3873.21,17567.17,35687.53
Jacket,Cuevas Couture (luxury),M,leather,78839,293457.49,367631.64,19262.33,601948.4,646332.08,3689553.11,5618185.06
Jacket,"Hernandez, Bonilla and Hamilton Basics (budget)",XXXL,leather,2393,2898.96,3320.77,175.95,1424.72,1124.22,4352.78,13297.4
Jacket,Jackson Ltd (mid_range),XXL,leather,5932,10338.16,11823.88,597.81,8299.33,10167.29,36233.97,77460.44
Contemporary Jacket,Fitzgerald & Co. (premium),XXXL,leather,15046,63691.15,71802.25,3978.02,60385.34,76323.51,287416.2,563596.46
Jacket,Johnson-Harrington Basics (budget),M,leather,948,670.38,836.18,49.72,359.32,241.72,1196.37,3353.7
Jacket,Kelly-Gordon Basics (budget),XXL,leather,1169,1342.51,1608.2,77.99,738.64,629.24,2497.43,6894.0
Jacket,Montgomery Ltd Basics (budget),M,leather,2325,1426.84,1472.44,98.78,736.26,674.89,2462.56,6871.78
Jacket,Moss & Co. (premium),XL,leather,19038,58773.9,66393.47,3948.79,50895.9,55001.44,240014.92,475028.42
Traditional Jacket,"Sharp, Adkins and Diaz (mid_range)",XL,leather,4272,5773.22,7008.2,378.55,4769.32,4806.39,21778.0,44513.69
Jacket,Williams Couture (luxury),XL,leather,79404,467007.25,584081.37,27998.8,972963.31,1534840.18,5494100.02,9080990.92
Jacket,Freeman and Sons (mid_range),M,leather,7698,7406.15,8295.45,487.03,5691.48,7647.2,23593.18,53120.5
Jacket,Reyes Couture (luxury),S,leather,36647,127796.05,143305.63,7521.79,264368.27,368428.4,1556017.02,2467437.15
Vintage Jacket,"Anderson, Fernandez and Anderson (mid_range)",XXXL,leather,5436,10864.29,14648.99,667.52,8533.91,8369.04,36566.08,79649.84
Jacket,Green Couture (luxury),XL,leather,144943,890549.45,1136910.66,63109.35,1983535.68,2620904.66,11817989.85,18512999.66
Jacket,"Jones, Davis and Warner (mid_range)",L,leather,4061,5216.16,6038.98,275.18,4318.38,6014.57,18441.59,40304.87
Jacket,"Willis, Harvey and Blair Basics (budget)",XL,leather,961,900.62,925.58,51.88,423.27,404.49,1244.72,3950.57
Jacket,Guerra PLC (mid_range),L,leather,4342,5716.45,6697.75,321.46,4267.9,4472.26,18357.95,39833.78
Contemporary Jacket,"Kim, Williams and Brown (mid_range)",XXXL,leather,5933,11776.0,14756.07,646.53,9258.11,9450.74,40521.52,86408.98
Casual Jacket,"Singleton, Stanley and Fletcher (mid_range)",M,leather,5736,5328.44,6097.72,331.25,4715.41,6423.57,21114.1,44010.48
Modern Jacket,Elliott PLC Basics (budget),XXL,leather,2558,2834.72,3833.52,206.4,1538.36,1329.18,4615.88,14358.06
Jacket,Kline-Stewart Basics (budget),XL,leather,2371,2276.55,2965.74,171.45,1214.8,699.4,4010.16,11338.1
Vintage Jacket,Walton-Norman Basics (budget),S,leather,1146,559.81,560.98,40.04,273.13,207.76,907.49,2549.21
Casual Jacket,Spencer Ltd Basics (budget),S,leather,1354,663.85,723.97,52.74,335.89,211.03,1147.49,3134.97
Vintage Jacket,Berry & Co. (premium),XXL,leather,21505,91640.05,115226.99,5432.32,104989.15,128773.3,533836.95,979898.76
Traditional Jacket,Love & Co. (premium),XXXL,leather,21744,105436.21,110855.66,5344.55,95723.77,115892.79,460168.89,893421.86
Jacket,"Washington, Snyder and Herrera (mid_range)",XXL,leather,5846,8973.77,10183.38,597.16,6701.4,8784.55,27306.12,62546.36
Jacket,Brown Ltd Basics (budget),L,leather,1908,1504.82,1775.61,98.11,787.53,748.32,2435.86,7350.25
Jacket,Fleming Inc Basics (budget),XL,leather,846,747.08,895.85,57.9,410.78,330.32,1392.03,3833.96
Jacket,Weaver-Adkins Basics (budget),S,leather,2079,1104.62,1560.9,57.31,591.71,368.16,1839.97,5522.66
Casual Jacket,Brown-Nguyen (mid_range),XL,leather,5461,7426.84,8690.01,502.61,6002.21,5663.06,27735.9,56020.63
Jacket,Jackson & Co. (premium),M,leather,21551,48611.9,55919.57,3016.5,51731.2,64444.83,259100.57,482824.58
Jacket,"Webster, Schmitt and Gibson (mid_range)",XXXL,leather,5623,11905.59,15318.46,936.76,9076.09,11229.08,36244.2,84710.18
Jacket,"Curtis, Carpenter and Smith Basics (budget)",L,leather,2928,2427.7,3104.38,140.71,1298.15,1028.16,4116.94,12116.05
Jacket,"Robertson, Ray and Mendez Basics (budget)",L,leather,1572,1217.8,1726.94,78.18,655.56,461.9,1978.16,6118.53
Jacket,Taylor PLC (mid_range),XL,leather,6996,9238.62,9417.67,494.45,7079.85,11216.7,28631.29,66078.57
Jacket,Munoz Group Basics (budget),XXL,leather,1744,1973.39,2143.97,139.07,949.38,975.03,2680.04,8860.88
Jacket,Brown Group (mid_range),XL,leather,6463,8950.35,11091.0,660.4,7112.76,8900.9,29670.37,66385.79
Formal Jacket,Rodriguez & Co. (premium),S,leather,23790,48210.8,49234.88,2981.8,51449.26,59848.66,268467.69,480193.09
Jacket,Eaton-Davis (mid_range),XXXL,leather,7147,15123.77,21122.21,788.84,12213.26,14832.58,49909.74,113990.4
Jacket,Russell & Co. (premium),L,leather,23589,61415.37,74317.66,4393.56,71697.74,83133.84,374220.7,669178.87
Jacket,Roy Couture (luxury),M,leather,117727,460131.1,647792.79,36078.81,1003781.03,1096265.89,6124573.35,9368622.98
Classic Jacket,Lloyd-Johnson Basics (budget),XXL,leather,2265,2399.12,3194.67,131.82,1301.43,1119.7,3999.94,12146.69
Jacket,Martinez Ltd (mid_range),XL,leather,5712,8098.0,8956.15,623.45,6949.21,9795.12,30437.39,64859.33
Jacket,"Miller, Jones and Hobbs Basics (budget)",M,leather,2970,2042.53,2201.67,105.22,985.53,942.96,2920.41,9198.33
Jacket,Doyle Inc Basics (budget),XXXL,leather,2491,3571.68,3814.37,282.74,1753.65,1345.81,5599.14,16367.38
Formal Jacket,Larsen Ltd Basics (budget),XXL,leather,2542,3043.59,3397.51,212.41,1593.85,1437.05,5191.53,14875.94
Jacket,"Sims, Zavala and Ryan Basics (budget)",L,leather,975,812.75,1105.82,61.85,411.11,284.53,1161.0,3837.07
Jacket,Rodgers LLC (mid_range),XL,leather,6251,8641.48,9997.71,483.35,6852.23,10350.15,27629.23,63954.14
Jacket,Graves-Reese Basics (budget),XXXL,leather,1922,2399.35,2551.58,122.87,1208.26,1148.72,3846.29,11277.07
Jacket,"Taylor, Moore and Clements Basics (budget)",M,leather,2984,1790.68,1865.01,130.05,842.35,772.76,2461.04,7861.9
Jacket,Gonzalez Group Basics (budget),XXL,leather,2827,3128.23,3550.97,248.7,1560.91,1483.65,4596.05,14568.51
Jacket,"Wilcox, Roberts and Curtis Basics (budget)",XXL,leather,2800,3368.12,4109.45,193.61,1640.31,1345.95,4652.14,15309.58
Jacket,"Fisher, Stewart and Morgan Basics (budget)",S,leather,1880,976.12,1338.64,51.18,523.04,345.21,1647.51,4881.7
Traditional Jacket,Lee-Andrade (mid_range),M,leather,7034,7336.08,7451.92,410.48,6393.57,8399.04,29682.23,59673.33
Jacket,"Mitchell, Lee and Jackson (mid_range)",M,leather,5805,5611.51,6121.55,337.05,4485.54,5505.84,19803.55,41865.04
Casual Jacket,"Nguyen, Kane and Guerra (mid_range)",XL,leather,4319,5446.15,5908.51,354.75,4346.53,4803.65,19707.98,40567.57
Contemporary Jacket,White-Davis (mid_range),XL,leather,6379,9766.87,13242.24,672.93,7630.14,7975.37,31927.1,71214.66
Jacket,Anderson & Co. (premium),M,leather,13167,29770.69,32892.98,2247.38,32146.78,40813.19,162165.62,300036.63
Modern Jacket,"Peters, Daniel and Smith Basics (budget)",L,leather,1440,1266.37,1370.12,72.16,615.15,412.96,2004.6,5741.36
Vintage Jacket,Cochran LLC Basics (budget),L,leather,2530,2155.32,2907.94,143.13,1150.31,990.04,3389.47,10736.2
Modern Jacket,"Patel, Sullivan and Mcfarland Basics (budget)",M,leather,1179,821.81,1074.41,44.27,422.86,296.5,1286.82,3946.67
Jacket,"Smith, Carr and Lyons (mid_range)",S,leather,4965,3718.12,4167.95,215.34,2904.39,4148.79,11953.08,27107.68
Classic Jacket,Wilkerson-Leach (mid_range),XXL,leather,4623,8150.46,11582.31,449.07,6571.13,8564.17,26013.45,61330.58
